Company Name,Contact Name,Job Title,Work Email,Website,Industry,Employee Count,Annual Revenue,Location,LinkedIn URL,Phone
Pinnacle Facilities,Daniel Delgado,Marketing Coordinator,daniel.delgado@stripe.com,https://www.stripe.com,Facilities Management,105,,"Columbus, OH",https://linkedin.com/in/daniel-delgado-1,+1 458-427-8131
Meridian Fabrication,Rachel Mbeki,,rachel.mbeki@wix.com,https://www.wix.com,Industrial Services,8631,"$865,922,337","Charlotte, NC",https://linkedin.com/in/rachel-mbeki-2,
Cornerstone Electrical,David Kowalski,Operations Analyst,davidkowalski86@hotmail.com,https://www.hotmail.com,Automotive,101,"$21,572,388","Tampa, FL",,+1 933-666-3754
Pinnacle Dental Group,Priya Nakamura,COO,priya.nakamura@intuit.com,https://www.intuit.com,,38,"$6,054,654","Kansas City, MO",https://linkedin.com/in/priya-nakamura-4,+1 734-354-9490
Pinnacle Facilities,James Gallagher,,james.gallagher@squarespace.com,https://www.squarespace.com,Automotive,86,"$10,205,104","Kansas City, MO",https://linkedin.com/in/james-gallagher-5,+1 454-514-8897
Northwind Electrical,Thomas Petrov,Sales Representative,thomaspetrov38@yahoo.com,https://www.yahoo.com,Wholesale Distribution,208,"$51,697,776","Dallas, TX",https://linkedin.com/in/thomas-petrov-6,+1 639-841-4310
Kestrel Automotive,Elena Okonkwo,Managing Director,elena.okonkwo@mailchimp.com,https://www.mailchimp.com,Manufacturing,99,"$19,981,863","Dallas, TX",,
Pinnacle Freight,Michael Sorensen,Head of Procurement,,https://www.godaddy.com,Automotive,1448,,"Richmond, VA",https://linkedin.com/in/michael-sorensen-8,+1 857-104-3597
Redwood Logistics,David Hartley,Head of Procurement,sales@cloudflare.com,https://www.cloudflare.com,Wholesale Distribution,76,,"Indianapolis, IN",https://linkedin.com/in/david-hartley-9,+1 734-853-8755
Silverbrook HVAC Services,Linda Whitfield,Head of Procurement,linda@pinnacle-dental-grp.example,https://www.pinnacle-dental-grp.example,Facilities Management,16,"$2,920,608","Tampa, FL",https://linkedin.com/in/linda-whitfield-10,
Harbor Plumbing,Sarah Novak,Intern,sarah.novak@shopify.com,https://www.shopify.com,Food & Beverage,75,,"Phoenix, AZ",https://linkedin.com/in/sarah-novak-11,+1 573-143-1833
Tidewater Fabrication,Daniel Vasquez,Operations Analyst,daniel.vasquez@intuit.com,https://www.intuit.com,Professional Services,715,"$198,140,800","Phoenix, AZ",https://linkedin.com/in/daniel-vasquez-12,
Harbor Fabrication,Nina Kowalski,General Manager,accounts@datadoghq.com,https://www.datadoghq.com,Industrial Services,8769,,"Charlotte, NC",,
Cornerstone Packaging,David Nakamura,Head of Procurement,,https://www.digitalocean.com,Logistics,18,"$4,283,514","Indianapolis, IN",https://linkedin.com/in/david-nakamura-14,
Pinnacle Freight,Rachel Rasmussen,Co-Founder,contact@zendesk.com,https://www.zendesk.com,Healthcare,3451,"$606,219,915","Richmond, VA",https://linkedin.com/in/rachel-rasmussen-15,+1 981-580-4084
Granite Plumbing,Grace Silva,Junior Accountant,grace.silva@wix.com,https://www.wix.com,Facilities Management,45,"$8,023,320","Phoenix, AZ",https://linkedin.com/in/grace-silva-16,+1 992-510-5053
Redwood Fabrication,Maria Kowalski,Head of Procurement,maria.kowalski@datadoghq.com,https://www.datadoghq.com,Healthcare,92,"$15,477,528","Richmond, VA",,+1 638-314-7072
Copperline Facilities,Robert Ferreira,President,robert@northwind-freight-co.example,https://www.northwind-freight-co.example,Facilities Management,6183,"$858,101,472","Columbus, OH",https://linkedin.com/in/robert-ferreira-18,
Summit Plumbing,Maria Ahmed,Director of Operations,maria.ahmed@zoominfo.com,https://www.zoominfo.com,Manufacturing,248,"$51,901,936","Richmond, VA",,+1 393-915-9878
Summit Plumbing,Maria Ahmed,Director of Operations,maria.ahmed@zoominfo.com,https://www.zoominfo.com,Manufacturing,248,"$51,901,936","Richmond, VA",,+1 393-915-9878
Kestrel Automotive,,Executive Assistant,michael.rasmussen@datadoghq.com,https://www.datadoghq.com,Construction,197,"$23,037,968","Charlotte, NC",https://linkedin.com/in/michael-rasmussen-20,
Foxglove Logistics,Marcus Hartley,Sales Representative,marcus.hartley@datadoghq.com,https://www.datadoghq.com,Manufacturing,46,,"Richmond, VA",,+1 545-454-1022
Granite HVAC Services,Marcus Chen,Marketing Coordinator,marcus.chen@intuit.com,https://www.intuit.com,Construction,104,,"Tampa, FL",,
Pinnacle Machining,,Marketing Coordinator,sarah@northwind-freight-co.example,https://www.northwind-freight-co.example,Food & Beverage,244,"$39,434,304","Salt Lake City, UT",https://linkedin.com/in/sarah-novak-23,+1 660-693-2529
Redwood Industrial,Linda Hartley,Field Technician,linda.hartley@twilio.com,https://www.twilio.com,Construction,3146,"$531,526,138","Tampa, FL",https://linkedin.com/in/linda-hartley-24,
Cornerstone Automotive,Claire Okonkwo,President,claire.okonkwo@stripe.com,https://www.stripe.com,Industrial Services,232,,"Salt Lake City, UT",https://linkedin.com/in/claire-okonkwo-25,
Redwood Dental Group,Paul Lindqvist,"Vice President, Finance",paullindqvist43@outlook.com,https://www.outlook.com,Food & Beverage,31,"$3,619,529","Indianapolis, IN",https://linkedin.com/in/paul-lindqvist-26,+1 231-712-9269
Pinnacle Freight,Grace Silva,COO,grace.silva@twilio.com,https://www.twilio.com,Automotive,91,"$26,077,597","Tampa, FL",https://linkedin.com/in/grace-silva-27,+1 814-737-9745
Blue Ridge HVAC Services,Claire Ferreira,Director of IT,claire@summit-logistics-llc.invalid,https://www.summit-logistics-llc.invalid,Professional Services,8706,,"Richmond, VA",https://linkedin.com/in/claire-ferreira-28,+1 881-650-4842
Redwood Freight,Grace Hartley,Founder,grace.hartley@notion.so,https://www.notion.so,Healthcare,152,"$20,211,136","Tampa, FL",,
Granite Logistics,Rachel Chen,President,,https://www.salesforce.com,Food & Beverage,136,"$23,960,888","Richmond, VA",https://linkedin.com/in/rachel-chen-30,+1 865-893-5769
Summit Manufacturing,James Gallagher,Plant Manager,james.gallagher@intuit.com,https://www.intuit.com,Professional Services,5777,,"Dallas, TX",https://linkedin.com/in/james-gallagher-31,+1 806-502-9505
Cornerstone Packaging,Priya Nakamura,Sales Representative,accounts@figma.com,https://www.figma.com,Automotive,207,"$28,130,058","Columbus, OH",https://linkedin.com/in/priya-nakamura-32,+1 261-684-4321
Summit Machining,James Ibrahim,President,james585@guerrillamail.com,https://www.guerrillamail.com,Professional Services,5832,"$956,436,336","Salt Lake City, UT",https://linkedin.com/in/james-ibrahim-33,+1 920-712-4771
Silverbrook Plumbing,Michael Nakamura,President,michael.nakamura@twilio.com,https://www.twilio.com,Healthcare,196,,"Columbus, OH",https://linkedin.com/in/michael-nakamura-34,+1 240-620-2010
Silverbrook Plumbing,Michael Nakamura,President,michael.nakamura@twilio.com,https://www.twilio.com,Healthcare,196,,"Columbus, OH",https://linkedin.com/in/michael-nakamura-34,+1 240-620-2010
Cornerstone Dental Group,Sarah Ibrahim,Director of IT,sarah.ibrahim@@zendesk.com,https://www.zendesk.com,,27,"$5,325,534","Indianapolis, IN",,+1 395-897-8111
Silverbrook Distribution,Nina Delgado,Intern,nina@acme-hvac-services.invalid,https://www.acme-hvac-services.invalid,Manufacturing,,"$34,383,531","Richmond, VA",https://linkedin.com/in/nina-delgado-36,
Northwind Distribution,Priya Bergstrom,Sales Representative,priyabergstrom43@hotmail.com,https://www.hotmail.com,Logistics,80,"$18,565,840","Kansas City, MO",https://linkedin.com/in/priya-bergstrom-37,+1 535-805-2214
Redwood Packaging,Omar Vasquez,VP of Operations,omar231@yopmail.com,https://www.yopmail.com,Industrial Services,119,"$27,148,184","Richmond, VA",,+1 584-397-7586
Ironclad Plumbing,Rachel Silva,General Manager,rachel.silva@zoominfo.com,https://www.zoominfo.com,Industrial Services,217,"$60,619,601","Kansas City, MO",https://linkedin.com/in/rachel-silva-39,
Foxglove Freight,Maria Hartley,CFO,maria.hartley@figma.com,https://www.figma.com,Healthcare,135,"$28,324,485","Kansas City, MO",https://linkedin.com/in/maria-hartley-40,+1 468-963-6576
